[2681ecf5-d0d9-481d-b769-7c4fb626eb81]
	general: name = 07_Heretics
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = true
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 42
	spawn: dayEnd = 55
	spawn: spawnChance = 1.5
	spawn: groupMin = 4
	spawn: groupMax = 4
	spawn: zone = 0

[a2dec2f0-c76d-4640-8a71-733a547a1ebc]
	general: name = ArmyDesert
	spawn: friendly = true
	spawn: companion = true
	spawn: defenders = false
	spawn: campers = true
	spawn: assault = false
	spawn: wanderer = true
	spawn: roadblock = true
	spawn: dayStart = 77
	spawn: dayEnd = 78
	spawn: spawnChance = 3
	spawn: groupMin = 6
	spawn: groupMax = 9
	spawn: zone = 0

[d7ba1cc0-de47-4162-b5bd-6295c47b890d]
	general: name = Officers
	spawn: friendly = true
	spawn: companion = true
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 20
	spawn: dayEnd = 20
	spawn: spawnChance = 1
	spawn: groupMin = 3
	spawn: groupMax = 3
	spawn: zone = 0

[a5def10b-bab9-46b1-8e8c-d5152c86457e]
	general: name = 14_Hermits
	spawn: friendly = true
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = true
	spawn: assault = false
	spawn: wanderer = true
	spawn: roadblock = false
	spawn: dayStart = 365
	spawn: dayEnd = 10000
	spawn: spawnChance = 1.9
	spawn: groupMin = 3
	spawn: groupMax = 6
	spawn: zone = 0

[bf5985eb-7cb0-44ba-8392-f656ffe421f4]
	general: name = 12_Medieval
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = true
	spawn: campers = false
	spawn: assault = true
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 100
	spawn: dayEnd = 200
	spawn: spawnChance = 1.4
	spawn: groupMin = 8
	spawn: groupMax = 13
	spawn: zone = 0

[6e319aac-4480-4367-aa9a-5d4bf2ced9d1]
	general: name = 08_Hikers
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = true
	spawn: assault = true
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 49
	spawn: dayEnd = 69
	spawn: spawnChance = 1.5
	spawn: groupMin = 4
	spawn: groupMax = 6
	spawn: zone = 2

[49facd22-4067-4ebd-9196-9bf6951a435c]
	general: name = 15_Legion
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = true
	spawn: wanderer = true
	spawn: roadblock = true
	spawn: dayStart = 300
	spawn: dayEnd = 310
	spawn: spawnChance = 2.2
	spawn: groupMin = 6
	spawn: groupMax = 8
	spawn: zone = 0

[f06e063f-551c-4fd5-aa19-bc15185c2371]
	general: name = 02_Sport
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = true
	spawn: campers = false
	spawn: assault = true
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 1
	spawn: dayEnd = 13
	spawn: spawnChance = 1.8
	spawn: groupMin = 2
	spawn: groupMax = 4
	spawn: zone = 0

[f6e2ca8c-311e-4ee2-9fe6-1c9e14dbcd11]
	general: name = 01_Rednecks
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = true
	spawn: campers = true
	spawn: assault = true
	spawn: wanderer = false
	spawn: roadblock = true
	spawn: dayStart = 0
	spawn: dayEnd = 13
	spawn: spawnChance = 1
	spawn: groupMin = 1
	spawn: groupMax = 3
	spawn: zone = 0

[0dfc13d3-4ce6-4af8-aac6-326eb7514c36]
	general: name = Karate
	spawn: friendly = true
	spawn: companion = true
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 11
	spawn: dayEnd = 11
	spawn: spawnChance = 1
	spawn: groupMin = 2
	spawn: groupMax = 2
	spawn: zone = 0

[fe1a8e07-7c73-466d-9ade-2e3e565dcb21]
	general: name = 13_Trash
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = true
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 105
	spawn: dayEnd = 365
	spawn: spawnChance = 1.2
	spawn: groupMin = 3
	spawn: groupMax = 4
	spawn: zone = 0

[6e147770-2d41-4fd2-ab7d-05a8acf4157b]
	general: name = 12_Militia
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = true
	spawn: assault = true
	spawn: wanderer = false
	spawn: roadblock = true
	spawn: dayStart = 84
	spawn: dayEnd = 365
	spawn: spawnChance = 1.7
	spawn: groupMin = 2
	spawn: groupMax = 6
	spawn: zone = 1

[cf115969-1f01-425e-9f42-bc4aec99555a]
	general: name = 10_Mafia
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = true
	spawn: campers = false
	spawn: assault = true
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 63
	spawn: dayEnd = 83
	spawn: spawnChance = 1.2
	spawn: groupMin = 3
	spawn: groupMax = 8
	spawn: zone = 1

[48b1d4b0-ca4e-4b02-ab56-e1fff39afe48]
	general: name = 09_Leather
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = true
	spawn: campers = false
	spawn: assault = true
	spawn: wanderer = false
	spawn: roadblock = true
	spawn: dayStart = 56
	spawn: dayEnd = 76
	spawn: spawnChance = 1.4
	spawn: groupMin = 5
	spawn: groupMax = 6
	spawn: zone = 0

[1eb2f74a-8d09-4346-8ba4-3a02665647e5]
	general: name = 04_Criminals
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = true
	spawn: campers = false
	spawn: assault = true
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 30
	spawn: dayEnd = 90
	spawn: spawnChance = 1.8
	spawn: groupMin = 1
	spawn: groupMax = 4
	spawn: zone = 0

[f9e0dc17-95a0-4cb9-97f1-b04bfc448c96]
	general: name = W_05_LonelyHunter
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = true
	spawn: roadblock = false
	spawn: dayStart = 15
	spawn: dayEnd = 200
	spawn: spawnChance = 4
	spawn: groupMin = 1
	spawn: groupMax = 1
	spawn: zone = 0

[c5c7f769-e5e8-44bb-ada6-cdf00ee2c234]
	general: name = Baseball
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = true
	spawn: campers = false
	spawn: assault = true
	spawn: wanderer = true
	spawn: roadblock = false
	spawn: dayStart = 5
	spawn: dayEnd = 5
	spawn: spawnChance = 2
	spawn: groupMin = 1
	spawn: groupMax = 4
	spawn: zone = 0

[b7d3a430-e966-48e8-97fa-9078c8d848a4]
	general: name = 11_Cannibals
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = true
	spawn: assault = true
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 77
	spawn: dayEnd = 365
	spawn: spawnChance = 1.5
	spawn: groupMin = 5
	spawn: groupMax = 6
	spawn: zone = 0

[8db5a57f-b0a9-4b04-9228-beeadd2db2fa]
	general: name = 03_Butchers
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = true
	spawn: campers = false
	spawn: assault = true
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 14
	spawn: dayEnd = 27
	spawn: spawnChance = 2.1
	spawn: groupMin = 3
	spawn: groupMax = 4
	spawn: zone = 0

[8365593d-f3b2-4e93-a96f-29315f83c51f]
	general: name = Prison
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = true
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 21
	spawn: dayEnd = 21
	spawn: spawnChance = 3
	spawn: groupMin = 5
	spawn: groupMax = 6
	spawn: zone = 0

[e42fc351-dd10-4a0c-a154-b383cef3b987]
	general: name = Wedding
	spawn: friendly = true
	spawn: companion = true
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 3
	spawn: dayEnd = 3
	spawn: spawnChance = 1.2
	spawn: groupMin = 1
	spawn: groupMax = 32
	spawn: zone = 1

[f8aa0e8c-92ee-4dce-99e8-e4cc3a5a8fbe]
	general: name = 06_Robbers
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = true
	spawn: campers = false
	spawn: assault = true
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 35
	spawn: dayEnd = 48
	spawn: spawnChance = 1.8
	spawn: groupMin = 3
	spawn: groupMax = 6
	spawn: zone = 0

[94d0c40a-539f-480a-883e-f3fdf15c703f]
	general: name = 05_Spike
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = true
	spawn: campers = true
	spawn: assault = true
	spawn: wanderer = false
	spawn: roadblock = true
	spawn: dayStart = 30
	spawn: dayEnd = 43
	spawn: spawnChance = 2.1
	spawn: groupMin = 3
	spawn: groupMax = 5
	spawn: zone = 0

[71314b9f-107c-4711-b74e-f120bdecc66b]
	general: name = W_02_Scavengers
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = true
	spawn: roadblock = false
	spawn: dayStart = 3
	spawn: dayEnd = 100
	spawn: spawnChance = 5
	spawn: groupMin = 5
	spawn: groupMax = 30
	spawn: zone = 0

[dc35fa7f-9e01-489b-aa3b-db9541c4b02d]
	general: name = W_06_Supremacists
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = true
	spawn: roadblock = false
	spawn: dayStart = 20
	spawn: dayEnd = 150
	spawn: spawnChance = 5
	spawn: groupMin = 5
	spawn: groupMax = 8
	spawn: zone = 0

[ecdda5e3-9b82-43ab-83dd-af3e660a6f50]
	general: name = W_01_Rednecks
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = true
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 30
	spawn: spawnChance = 5
	spawn: groupMin = 5
	spawn: groupMax = 16
	spawn: zone = 0

[326693ab-1055-46c9-91b5-24606731f0a4]
	general: name = W_03_Travellers
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = true
	spawn: roadblock = false
	spawn: dayStart = 7
	spawn: dayEnd = 110
	spawn: spawnChance = 5
	spawn: groupMin = 4
	spawn: groupMax = 6
	spawn: zone = 0

[06c00108-0ac9-47ee-b2ac-248651a9d5dc]
	general: name = W_04_Convicts
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = true
	spawn: roadblock = false
	spawn: dayStart = 12
	spawn: dayEnd = 120
	spawn: spawnChance = 5
	spawn: groupMin = 3
	spawn: groupMax = 6
	spawn: zone = 0

[a8fb46ad-7093-4711-9a85-aa353d19b084]
	general: name = W_06_BlackDogs
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = true
	spawn: roadblock = false
	spawn: dayStart = 14
	spawn: dayEnd = 140
